CATALOGID,CATALOG.NAME,CATEGORY__C,DESCRIPTION,IMAGEURL__C,ISNAVIGATIONAL,IS_DOCUMENT__C,IS_SITE__C,NAME,NUMBEROFPRODUCTS,PARENTCATEGORYID,PARENTCATEGORY.NAME,REDIRECT_PAGE__C,SORTORDER,WALTERB2BSTORE_LANGUAGE__C,WALTERB2BSTORE_LANGUAGE__R.NAME,WEBSITE_URL__C
0ZSO90000000nC1OAI,Walter-EN_CA Catalog,,,,TRUE,FALSE,FALSE,Industry,0,,,,1,,EN_CA,
0ZSO90000000nC1OAI,Walter-EN_CA Catalog,,,,TRUE,FALSE,FALSE,Brands,0,,,,2,,EN_CA,
0ZSO90000000nC1OAI,Walter-EN_CA Catalog,,,,TRUE,FALSE,FALSE,Resources,0,,,,3,,EN_CA,
