CATALOGID,CATEGORY__C,DESCRIPTION,ID,IMAGEURL__C,ISNAVIGATIONAL,IS_DOCUMENT__C,IS_SITE__C,NAME,NUMBEROFPRODUCTS,PARENTCATEGORYID,PARENTCATEGORY.NAME,REDIRECT_PAGE__C,SORTORDER,WALTERB2BSTORE_LANGUAGE__C,WALTERB2BSTORE_LANGUAGE__R.NAME,WEBSITE_URL__C
0ZS7A0000008UY4WAM,,,0ZG7A0000008WWlWAM,,TRUE,FALSE,FALSE,Safety Instructions,0,0ZG7A0000008WV4WAM,Resources,Safety_Instructions__c,7,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WWqWAM,,TRUE,FALSE,FALSE,Distributor Services,0,0ZG7A0000008WV4WAM,Resources,Distributor_Services__c,9,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WWvWAM,,TRUE,FALSE,FALSE,Brushing,0,0ZG7A0000008WV9WAM,Abrasives,Brushing__c,1,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WX0WAM,,TRUE,FALSE,FALSE,Finishing,0,0ZG7A0000008WV9WAM,Abrasives,Finishing__c,3,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WX5WAM,,TRUE,FALSE,FALSE,Grinding,0,0ZG7A0000008WV9WAM,Abrasives,Grinding__c,4,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXAWA2,,TRUE,FALSE,FALSE,Cleaners & Degreasers,0,0ZG7A0000008WVEWA2,Cleaning,Cleaners_And_Degreasers__c,1,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXBWA2,,TRUE,FALSE,FALSE,Personal Care,0,0ZG7A0000008WVEWA2,Cleaning,Personal_Care__c,2,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXFWA2,,TRUE,FALSE,FALSE,Surface Disinfectants,0,0ZG7A0000008WVEWA2,Cleaning,Surface_Disinfectants__c,3,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXKWA2,,TRUE,FALSE,FALSE,About Lubricant & Protectant,0,0ZG7A0000008WVJWA2,Lubricant & Protectant,,0,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXLWA2,,TRUE,FALSE,FALSE,About PPE,0,0ZG7A0000008WVTWA2,PPE,,0,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXMWA2,,TRUE,FALSE,FALSE,Eye Protection,0,0ZG7A0000008WVTWA2,PPE,Eye_Protection__c,1,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXPWA2,,TRUE,FALSE,FALSE,Greases,0,0ZG7A0000008WVJWA2,Lubricant & Protectant,Greases__c,1,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXUWA2,,TRUE,FALSE,FALSE,Industrial Adhesives,0,0ZG7A0000008WVJWA2,Lubricant & Protectant,Industrial_Adhesives__c,2,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXZWA2,,TRUE,FALSE,FALSE,Maintenance L&P,0,0ZG7A0000008WVJWA2,Lubricant & Protectant,Maintenance_Lp__c,3,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXeWAM,,TRUE,FALSE,FALSE,Metal Working Fluids,0,0ZG7A0000008WVJWA2,Lubricant & Protectant,Metal_Working_Fluids__c,4,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXjWAM,,TRUE,FALSE,FALSE,About Power Tools,0,0ZG7A0000008WVOWA2,Power Tools,,0,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXoWAM,,TRUE,FALSE,FALSE,Head & Face Protection,0,0ZG7A0000008WVTWA2,PPE,Head_And_Face_Protection__c,2,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXpWAM,,TRUE,FALSE,FALSE,Accessories,0,0ZG7A0000008WVYWA2,Tooling,Accessories__c,1,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXtWAM,,TRUE,FALSE,FALSE,About Tooling,0,0ZG7A0000008WVYWA2,Tooling,,0,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXuWAM,,TRUE,FALSE,FALSE,Annular Cutters,0,0ZG7A0000008WVYWA2,Tooling,Annular_Cutters__c,2,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WXyWAM,,TRUE,FALSE,FALSE,Burrs,0,0ZG7A0000008WVYWA2,Tooling,Burrs__c,3,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WY3WAM,,TRUE,FALSE,FALSE,Dies,0,0ZG7A0000008WVYWA2,Tooling,Dies__c,4,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WY8WAM,,TRUE,FALSE,FALSE,Drill Bits,0,0ZG7A0000008WVYWA2,Tooling,Drill_Bits__c,5,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WYDWA2,,TRUE,FALSE,FALSE,End Mills,0,0ZG7A0000008WVYWA2,Tooling,End_Mills__c,6,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WYIWA2,,TRUE,FALSE,FALSE,Hole Cutters,0,0ZG7A0000008WVYWA2,Tooling,Hole_Cutters__c,7,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WYNWA2,,TRUE,FALSE,FALSE,Miscellaneous,0,0ZG7A0000008WVYWA2,Tooling,Miscellaneous__c,8,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WYSWA2,,TRUE,FALSE,FALSE,Other,0,0ZG7A0000008WVYWA2,Tooling,,9,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WYXWA2,,TRUE,FALSE,FALSE,Reamers,0,0ZG7A0000008WVYWA2,Tooling,Reamers__c,10,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WYcWAM,,TRUE,FALSE,FALSE,Taps,0,0ZG7A0000008WVYWA2,Tooling,Taps__c,11,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WYdWAM,,TRUE,FALSE,FALSE,About Welding,0,0ZG7A0000008WVFWA2,Welding,,0,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WYhWAM,,TRUE,FALSE,FALSE,Quality Management,0,0ZG7A0000008WVFWA2,Welding,Quality_Management__c,1,a1Z7A000001YcEfUAK,EN_CA,
