ID,NAME,SITE_MAP_SUB_CATEGORY__C,STORE__C,STORE__R.NAME,URL__C
a2sO4000000Z0OZIA0,Cutting Fluids,a2zO40000000a9xIAA,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/mro/cutting-fluids
a2sO4000000Z0QCIA0,Twist Drilling,a2zO40000000a6jIAA,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/tooling/twist-drilling
a2sO4000000Z0wSIAS,Finishing,a2zO40000000a0HIAQ,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/abrasives/finishing
a2sO4000000Z0wUIAS,Your Accessories,a2zO40000000aBZIAY,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/power-brushes/your-accessories
a2sO4000000Z0zhIAC,Finishing,a2zO40000000a8LIAQ,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/power-tools/finishing
a2sO4000000Z1J2IAK,PPE,a2zO40000000a57IAA,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/welding/ppe
a2sO4000000Z1kQIAS,Cutting,a2zO40000000a0HIAQ,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/abrasives/cutting
a2sO4000000Z1r3IAC,TRANSPORTATION,a2zO40000000aOTIAY,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/industry/transportation
a2sO4000000Z20aIAC,Your Accessories,a2zO40000000a57IAA,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/welding/your-accessories
a2sO4000000Z25PIAS,Surfox Liquids,a2zO40000000a57IAA,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/welding/surfox-liquids
a2sO4000000Z26zIAC,Blending,a2zO40000000a0HIAQ,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/abrasives/blending
a2sO4000000Z270IAC,Magnetic Drilling Units,a2zO40000000a8LIAQ,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/power-tools/magnetic-drilling-units
a2sO4000000Z2BpIAK,Grinding,a2zO40000000a0HIAQ,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/abrasives/grinding
a2sO4000000Z2DRIA0,Sanding,a2zO40000000a0HIAQ,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/abrasives/sanding
